ID,Site,Year,Day,Hour,Dive Count
MO05,Moraine,2019,2,21,6
MO05,Moraine,2019,2,23,2
MO05,Moraine,2019,3,2,5
MO05,Moraine,2019,3,4,2
MO05,Moraine,2019,3,5,2
MO05,Moraine,2019,3,6,31
MO05,Moraine,2019,3,7,43
MO05,Moraine,2019,3,8,36
MO05,Moraine,2019,3,9,41
MO05,Moraine,2019,3,10,36
MO05,Moraine,2019,3,11,36
MO05,Moraine,2019,3,12,35
MO05,Moraine,2019,3,13,42
MO05,Moraine,2019,3,14,34
MO05,Moraine,2019,3,15,32
MO05,Moraine,2019,3,16,35
MO05,Moraine,2019,3,17,19
MO05,Moraine,2019,3,18,25
MO05,Moraine,2019,3,19,29
MO05,Moraine,2019,3,20,47
MO05,Moraine,2019,3,21,12
MO05,Moraine,2019,3,22,15
MO05,Moraine,2019,3,23,14
MO05,Moraine,2019,3,24,1
MO05,Moraine,2019,4,2,7
MO05,Moraine,2019,4,6,47
MO05,Moraine,2019,4,7,46
MO05,Moraine,2019,4,8,34
MO05,Moraine,2019,4,9,42
MO05,Moraine,2019,4,10,31
MO05,Moraine,2019,4,11,35
MO05,Moraine,2019,4,12,33
MO05,Moraine,2019,4,13,28
MO05,Moraine,2019,4,14,24
MO05,Moraine,2019,4,15,21
MO05,Moraine,2019,4,16,21
MO05,Moraine,2019,4,17,25
MO05,Moraine,2019,4,18,35
MO05,Moraine,2019,4,19,75
MO05,Moraine,2019,4,20,62
MO05,Moraine,2019,4,24,12
MO062,Moraine,2019,1,6,26
MO062,Moraine,2019,1,7,30
MO062,Moraine,2019,1,8,67
MO062,Moraine,2019,1,9,31
MO062,Moraine,2019,1,10,43
MO062,Moraine,2019,1,11,36
MO062,Moraine,2019,1,12,45
MO062,Moraine,2019,1,13,42
MO062,Moraine,2019,1,14,42
MO062,Moraine,2019,1,15,40
MO062,Moraine,2019,1,16,38
MO062,Moraine,2019,1,17,35
MO062,Moraine,2019,1,18,31
MO062,Moraine,2019,1,19,35
MO062,Moraine,2019,1,20,26
MO062,Moraine,2019,1,21,1
MO062,Moraine,2019,1,22,1
MO062,Moraine,2019,2,2,4
MO062,Moraine,2019,2,6,13
MO062,Moraine,2019,2,7,55
MO062,Moraine,2019,2,8,43
MO062,Moraine,2019,2,9,30
MO062,Moraine,2019,2,10,29
MO062,Moraine,2019,2,11,29
MO062,Moraine,2019,2,12,24
MO062,Moraine,2019,2,13,24
MO062,Moraine,2019,2,14,25
MO062,Moraine,2019,2,15,28
MO062,Moraine,2019,2,16,35
MO062,Moraine,2019,2,17,33
MO062,Moraine,2019,2,18,33
MO062,Moraine,2019,2,19,56
MO062,Moraine,2019,2,20,77
MO062,Moraine,2019,2,21,72
MO08,Moraine,2019,1,6,11
MO08,Moraine,2019,1,7,28
MO08,Moraine,2019,1,8,43
MO08,Moraine,2019,1,9,34
MO08,Moraine,2019,1,10,37
MO08,Moraine,2019,1,11,31
MO08,Moraine,2019,1,12,31
MO08,Moraine,2019,1,13,36
MO08,Moraine,2019,1,14,40
MO08,Moraine,2019,1,15,44
MO08,Moraine,2019,1,16,53
MO08,Moraine,2019,1,17,47
MO08,Moraine,2019,1,18,52
MO08,Moraine,2019,1,19,33
MO08,Moraine,2019,1,20,46
MO08,Moraine,2019,2,5,2
MO08,Moraine,2019,2,6,31
MO08,Moraine,2019,2,7,33
MO08,Moraine,2019,2,8,31
MO08,Moraine,2019,2,9,22
MO08,Moraine,2019,2,10,36
MO08,Moraine,2019,2,11,98
MO08,Moraine,2019,2,12,133
MO08,Moraine,2019,2,13,153
MO08,Moraine,2019,2,14,114
MO08,Moraine,2019,2,15,123
MO08,Moraine,2019,2,16,83
MO08,Moraine,2019,2,17,55
MO102,Moraine,2019,1,2,4
MO102,Moraine,2019,1,3,36
MO102,Moraine,2019,1,4,30
MO102,Moraine,2019,1,5,14
MO102,Moraine,2019,1,6,38
MO102,Moraine,2019,1,7,80
MO102,Moraine,2019,1,8,52
MO102,Moraine,2019,1,9,68
MO102,Moraine,2019,1,10,39
MO102,Moraine,2019,1,11,42
MO102,Moraine,2019,1,12,36
MO102,Moraine,2019,1,13,42
MO102,Moraine,2019,1,14,35
MO102,Moraine,2019,1,15,27
MO102,Moraine,2019,1,16,43
MO102,Moraine,2019,1,17,42
MO102,Moraine,2019,1,18,34
MO102,Moraine,2019,1,19,36
MO102,Moraine,2019,1,20,50
MO102,Moraine,2019,1,21,13
MO102,Moraine,2019,1,22,3
MO102,Moraine,2019,1,23,8
MO102,Moraine,2019,2,2,2
MO102,Moraine,2019,2,3,2
MO102,Moraine,2019,2,4,2
MO102,Moraine,2019,2,5,5
MO102,Moraine,2019,2,6,40
MO102,Moraine,2019,2,7,55
MO102,Moraine,2019,2,8,56
MO102,Moraine,2019,2,9,42
MO102,Moraine,2019,2,10,22
MO102,Moraine,2019,2,11,22
MO102,Moraine,2019,2,12,20
MO102,Moraine,2019,2,13,23
MO102,Moraine,2019,2,14,22
MO102,Moraine,2019,2,15,24
MO102,Moraine,2019,2,16,24
MO102,Moraine,2019,2,17,26
MO102,Moraine,2019,2,18,29
MO102,Moraine,2019,2,19,41
MO102,Moraine,2019,2,20,38
MO102,Moraine,2019,2,24,5
MO102,Moraine,2019,3,2,27
MO102,Moraine,2019,3,3,18
MO102,Moraine,2019,3,4,4
MO102,Moraine,2019,3,5,4
MO102,Moraine,2019,3,6,37
MO102,Moraine,2019,3,7,36
MO102,Moraine,2019,3,8,31
MO102,Moraine,2019,3,9,28
